flag,value,name
indonesia.svg,id,Bahasa Indonesia - Indonesian
malaysia.svg,msa,Bahasa Melayu - Malay
canada.svg,ca,Català - Catalan
czech-republic.svg,cs,Čeština - Czech
netherlands.svg,da,Dansk - Danish
germany.svg,de,Deutsch - German
united-kingdom.svg,en,English
united-kingdom.svg,en-gb,English UK - British English
spain.svg,es,Español - Spanish
philippines.svg,fil,Filipino
france.svg,fr,Français - French
gabon.svg,ga,Gaeilge - Irish (beta)
greenland.svg,gl,Galego - Galician (beta)
croatia.svg,hr,Hrvatski - Croatian
italy.svg,it,Italiano - Italian
hungary.svg,hu,Magyar - Hungarian
netherlands.svg,nl,Nederlands - Dutch
norway.svg,no,Norsk - Norwegian
poland.svg,pl,Polski - Polish
portugal.svg,pt,Português - Portuguese
romania.svg,ro,Română - Romanian
slovakia.svg,sk,Slovenčina - Slovak
finland.svg,fi,Suomi - Finnish
el-salvador.svg,sv,Svenska - Swedish
virgin-islands.svg,vi,Tiếng Việt - Vietnamese
turkey.svg,tr,Türkçe - Turkish
greece.svg,el,Ελληνικά - Greek
bulgaria.svg,bg,Български език - Bulgarian
russia.svg,ru,Русский - Russian
suriname.svg,sr,Српски - Serbian
ukraine.svg,uk,Українська мова - Ukrainian
israel.svg,he,עִבְרִית - Hebrew
pakistan.svg,ur,اردو - Urdu (beta)
argentina.svg,ar,العربية - Arabic
argentina.svg,fa,فارسی - Persian
mauritania.svg,mr,मराठी - Marathi
india.svg,hi,हिन्दी - Hindi
bangladesh.svg,bn,বাংলা - Bangla
guam.svg,gu,ગુજરાતી - Gujarati
india.svg,ta,தமிழ் - Tamil
saint-kitts-and-nevis.svg,kn,ಕನ್ನಡ - Kannada
thailand.svg,th,ภาษาไทย - Thai
south-korea.svg,ko,한국어 - Korean
japan.svg,ja,日本語 - Japanese
china.svg,zh-cn,简体中文 - Simplified Chinese
taiwan.svg,zh-tw,繁體中文 - Traditional Chinese
